ID,Year,Stage,Home Team,Home Goals,Away Goals,Away Team,Host Team or Not
445,1990,Group stage,South Korea,0,1,Uruguay,0
446,1990,Group stage,Belgium,1,2,Spain,0
447,1990,Group stage,Republic of Ireland,1,1,Netherlands,0
448,1990,Group stage,England,1,0,Egypt,0
449,1990,Round of 16,Cameroon,2,1,Colombia,0
450,1990,Round of 16,Czechoslovakia,4,1,Costa Rica,0
451,1990,Round of 16,Brazil,0,1,Argentina,0
452,1990,Round of 16,Germany,2,1,Netherlands,0
453,1990,Round of 16,Republic of Ireland,0,0,Romania,0
454,1990,Round of 16,Italy,2,0,Uruguay,1
455,1990,Round of 16,Spain,1,2,Yugoslavia,0
456,1990,Round of 16,England,1,0,Belgium,0
457,1990,Quarter-finals,Yugoslavia,0,0,Argentina,0
458,1990,Quarter-finals,Italy,1,0,Republic of Ireland,1
459,1990,Quarter-finals,Germany,1,0,Czechoslovakia,0
460,1990,Quarter-finals,England,3,2,Cameroon,0
461,1990,Semi-finals,Italy,1,1,Argentina,1
462,1990,Semi-finals,Germany,1,1,England,0
463,1990,Third place,Italy,2,1,England,1
464,1990,Final,Germany,1,0,Argentina,0
465,1994,Group stage,Germany,1,0,Bolivia,0
466,1994,Group stage,Spain,2,2,South Korea,0
467,1994,Group stage,United States,1,1,Switzerland,1
468,1994,Group stage,Italy,0,1,Republic of Ireland,0
469,1994,Group stage,Colombia,1,3,Romania,0
470,1994,Group stage,Belgium,1,0,Morocco,0
471,1994,Group stage,Norway,1,0,Mexico,0
472,1994,Group stage,Cameroon,2,2,Sweden,0
473,1994,Group stage,Brazil,2,0,Russia,0
474,1994,Group stage,Netherlands,2,1,Saudi Arabia,0
475,1994,Group stage,Argentina,4,0,Greece,0
476,1994,Group stage,Germany,1,1,Spain,0
477,1994,Group stage,Nigeria,3,0,Bulgaria,0
478,1994,Group stage,Romania,1,4,Switzerland,0
479,1994,Group stage,United States,2,1,Colombia,1
480,1994,Group stage,Italy,1,0,Norway,0
481,1994,Group stage,South Korea,0,0,Bolivia,0
482,1994,Group stage,Mexico,2,1,Republic of Ireland,0
483,1994,Group stage,Brazil,3,0,Cameroon,0
484,1994,Group stage,Sweden,3,1,Russia,0
485,1994,Group stage,Belgium,1,0,Netherlands,0
486,1994,Group stage,Saudi Arabia,2,1,Morocco,0
487,1994,Group stage,Argentina,2,1,Nigeria,0
488,1994,Group stage,Bulgaria,4,0,Greece,0
489,1994,Group stage,United States,0,1,Romania,1
490,1994,Group stage,Switzerland,0,2,Colombia,0
491,1994,Group stage,Germany,3,2,South Korea,0
492,1994,Group stage,Bolivia,1,3,Spain,0
493,1994,Group stage,Republic of Ireland,0,0,Norway,0
494,1994,Group stage,Italy,1,1,Mexico,0
495,1994,Group stage,Brazil,1,1,Sweden,0
496,1994,Group stage,Russia,6,1,Cameroon,0
497,1994,Group stage,Morocco,1,2,Netherlands,0
498,1994,Group stage,Belgium,0,1,Saudi Arabia,0
499,1994,Group stage,Greece,0,2,Nigeria,0
500,1994,Group stage,Argentina,0,2,Bulgaria,0
501,1994,Round of 16,Germany,3,2,Belgium,0
502,1994,Round of 16,Spain,3,0,Switzerland,0
503,1994,Round of 16,Saudi Arabia,1,3,Sweden,0
504,1994,Round of 16,Romania,3,2,Argentina,0
505,1994,Round of 16,Netherlands,2,0,Republic of Ireland,0
506,1994,Round of 16,United States,0,1,Brazil,1
507,1994,Round of 16,Nigeria,1,2,Italy,0
508,1994,Round of 16,Mexico,1,1,Bulgaria,0
509,1994,Quarter-finals,Italy,2,1,Spain,0
510,1994,Quarter-finals,Netherlands,2,3,Brazil,0
511,1994,Quarter-finals,Bulgaria,2,1,Germany,0
512,1994,Quarter-finals,Romania,2,2,Sweden,0
513,1994,Semi-finals,Bulgaria,1,2,Italy,0
514,1994,Semi-finals,Sweden,0,1,Brazil,0
515,1994,Third place,Sweden,4,0,Bulgaria,0
516,1994,Final,Brazil,0,0,Italy,0
517,1998,Group stage,Brazil,2,1,Scotland,0
518,1998,Group stage,Morocco,2,2,Norway,0
519,1998,Group stage,Italy,2,2,Chile,0
520,1998,Group stage,Cameroon,1,1,Austria,0
521,1998,Group stage,Paraguay,0,0,Bulgaria,0
522,1998,Group stage,Saudi Arabia,0,1,Denmark,0
523,1998,Group stage,France,3,0,South Africa,1
524,1998,Group stage,Spain,2,3,Nigeria,0
525,1998,Group stage,South Korea,1,3,Mexico,0
526,1998,Group stage,Netherlands,0,0,Belgium,0
527,1998,Group stage,Argentina,1,0,Japan,0
528,1998,Group stage,Yugoslavia,1,0,Iran,0
529,1998,Group stage,Jamaica,1,3,Croatia,0
530,1998,Group stage,England,2,0,Tunisia,0
531,1998,Group stage,Romania,1,0,Colombia,0
532,1998,Group stage,Germany,2,0,United States,0
533,1998,Group stage,Scotland,1,1,Norway,0
534,1998,Group stage,Brazil,3,0,Morocco,0
535,1998,Group stage,Chile,1,1,Austria,0
536,1998,Group stage,Italy,3,0,Cameroon,0
537,1998,Group stage,South Africa,1,1,Denmark,0
538,1998,Group stage,France,4,0,Saudi Arabia,1
539,1998,Group stage,Nigeria,1,0,Bulgaria,0
540,1998,Group stage,Spain,0,0,Paraguay,0
541,1998,Group stage,Japan,0,1,Croatia,0
542,1998,Group stage,Belgium,2,2,Mexico,0
543,1998,Group stage,Netherlands,5,0,South Korea,0
544,1998,Group stage,Germany,2,2,Yugoslavia,0
545,1998,Group stage,Argentina,5,0,Jamaica,0
546,1998,Group stage,United States,1,2,Iran,0
547,1998,Group stage,Colombia,1,0,Tunisia,0
548,1998,Group stage,Romania,2,1,England,0
549,1998,Group stage,Italy,2,1,Austria,0
550,1998,Group stage,Chile,1,1,Cameroon,0
551,1998,Group stage,Scotland,0,3,Morocco,0
552,1998,Group stage,Brazil,1,2,Norway,0
553,1998,Group stage,France,2,1,Denmark,1
554,1998,Group stage,South Africa,2,2,Saudi Arabia,0
555,1998,Group stage,Spain,6,1,Bulgaria,0
556,1998,Group stage,Nigeria,1,3,Paraguay,0
557,1998,Group stage,Belgium,1,1,South Korea,0
558,1998,Group stage,Netherlands,2,2,Mexico,0
559,1998,Group stage,Germany,2,0,Iran,0
560,1998,Group stage,United States,0,1,Yugoslavia,0
561,1998,Group stage,Japan,1,2,Jamaica,0
562,1998,Group stage,Argentina,1,0,Croatia,0
563,1998,Group stage,Romania,1,1,Tunisia,0
564,1998,Group stage,Colombia,0,2,England,0
565,1998,Round of 16,Italy,1,0,Norway,0
566,1998,Round of 16,Brazil,4,1,Chile,0
567,1998,Round of 16,France,1,0,Paraguay,1
568,1998,Round of 16,Nigeria,1,4,Denmark,0
569,1998,Round of 16,Germany,2,1,Mexico,0
570,1998,Round of 16,Netherlands,2,1,Yugoslavia,0
571,1998,Round of 16,Romania,0,1,Croatia,0
572,1998,Round of 16,Argentina,2,2,England,0
573,1998,Quarter-finals,France,0,0,Italy,1
574,1998,Quarter-finals,Brazil,3,2,Denmark,0
575,1998,Quarter-finals,Netherlands,2,1,Argentina,0
576,1998,Quarter-finals,Germany,0,3,Croatia,0
577,1998,Semi-finals,Brazil,1,1,Netherlands,0
578,1998,Semi-finals,France,2,1,Croatia,1
579,1998,Third place,Netherlands,1,2,Croatia,0
580,1998,Final,France,3,0,Brazil,1
581,2002,Group stage,France,0,1,Senegal,0
582,2002,Group stage,Republic of Ireland,1,1,Cameroon,0
583,2002,Group stage,Uruguay,1,2,Denmark,0
584,2002,Group stage,Germany,8,0,Saudi Arabia,0
585,2002,Group stage,Argentina,1,0,Nigeria,0
586,2002,Group stage,Paraguay,2,2,South Africa,0
587,2002,Group stage,England,1,1,Sweden,0
588,2002,Group stage,Spain,3,1,Slovenia,0
589,2002,Group stage,Croatia,0,1,Mexico,0
590,2002,Group stage,Brazil,2,1,Turkey,0
591,2002,Group stage,Italy,2,0,Ecuador,0
592,2002,Group stage,China,0,2,Costa Rica,0
593,2002,Group stage,Japan,2,2,Belgium,1
594,2002,Group stage,South Korea,2,0,Poland,1
595,2002,Group stage,Russia,2,0,Tunisia,0
596,2002,Group stage,United States,3,2,Portugal,0
597,2002,Group stage,Germany,1,1,Republic of Ireland,0
598,2002,Group stage,Denmark,1,1,Senegal,0
599,2002,Group stage,Cameroon,1,0,Saudi Arabia,0
600,2002,Group stage,France,0,0,Uruguay,0
601,2002,Group stage,Sweden,2,1,Nigeria,0
602,2002,Group stage,Spain,3,1,Paraguay,0
603,2002,Group stage,Argentina,0,1,England,0
604,2002,Group stage,South Africa,1,0,Slovenia,0
605,2002,Group stage,Italy,1,2,Croatia,0
606,2002,Group stage,Brazil,4,0,China,0
607,2002,Group stage,Mexico,2,1,Ecuador,0
608,2002,Group stage,Costa Rica,1,1,Turkey,0
609,2002,Group stage,Japan,1,0,Russia,1
610,2002,Group stage,South Korea,1,1,United States,1
611,2002,Group stage,Tunisia,1,1,Belgium,0
612,2002,Group stage,Portugal,4,0,Poland,0
613,2002,Group stage,Denmark,2,0,France,0
614,2002,Group stage,Senegal,3,3,Uruguay,0
615,2002,Group stage,Saudi Arabia,0,3,Republic of Ireland,0
616,2002,Group stage,Cameroon,0,2,Germany,0
617,2002,Group stage,Sweden,1,1,Argentina,0
618,2002,Group stage,Nigeria,0,0,England,0
619,2002,Group stage,Slovenia,1,3,Paraguay,0
620,2002,Group stage,South Africa,2,3,Spain,0
621,2002,Group stage,Costa Rica,2,5,Brazil,0
622,2002,Group stage,Turkey,3,0,China,0
623,2002,Group stage,Ecuador,1,0,Croatia,0
624,2002,Group stage,Mexico,1,1,Italy,0
625,2002,Group stage,Japan,2,0,Tunisia,1
626,2002,Group stage,Belgium,3,2,Russia,0
627,2002,Group stage,South Korea,1,0,Portugal,1
628,2002,Group stage,Poland,3,1,United States,0
629,2002,Round of 16,Germany,1,0,Paraguay,0
630,2002,Round of 16,Denmark,0,3,England,0
631,2002,Round of 16,Sweden,1,2,Senegal,0
632,2002,Round of 16,Spain,1,1,Republic of Ireland,0
633,2002,Round of 16,Mexico,0,2,United States,0
634,2002,Round of 16,Brazil,2,0,Belgium,0
635,2002,Round of 16,Japan,0,1,Turkey,1
636,2002,Round of 16,South Korea,2,1,Italy,1
637,2002,Quarter-finals,England,1,2,Brazil,0
638,2002,Quarter-finals,Germany,1,0,United States,0
639,2002,Quarter-finals,South Korea,0,0,Spain,1
640,2002,Quarter-finals,Senegal,0,1,Turkey,0
641,2002,Semi-finals,South Korea,0,1,Germany,1
642,2002,Semi-finals,Brazil,1,0,Turkey,0
643,2002,Third place,South Korea,2,3,Turkey,1
644,2002,Final,Germany,0,2,Brazil,0
645,2006,Group stage,Germany,4,2,Costa Rica,1
646,2006,Group stage,Poland,0,2,Ecuador,0
647,2006,Group stage,England,1,0,Paraguay,0
648,2006,Group stage,Trinidad and Tobago,0,0,Sweden,0
649,2006,Group stage,Argentina,2,1,Ivory Coast,0
650,2006,Group stage,Serbia,0,1,Netherlands,0
651,2006,Group stage,Mexico,3,1,Iran,0
652,2006,Group stage,Angola,0,1,Portugal,0
653,2006,Group stage,Australia,3,1,Japan,0
654,2006,Group stage,United States,0,3,Czech Republic,0
655,2006,Group stage,Italy,2,0,Ghana,0
656,2006,Group stage,South Korea,2,1,Togo,0
657,2006,Group stage,France,0,0,Switzerland,0
658,2006,Group stage,Brazil,1,0,Croatia,0
659,2006,Group stage,Spain,4,0,Ukraine,0
660,2006,Group stage,Tunisia,2,2,Saudi Arabia,0
661,2006,Group stage,Germany,1,0,Poland,1
662,2006,Group stage,Ecuador,3,0,Costa Rica,0
663,2006,Group stage,England,2,0,Trinidad and Tobago,0
664,2006,Group stage,Sweden,1,0,Paraguay,0
665,2006,Group stage,Argentina,6,0,Serbia,0
666,2006,Group stage,Netherlands,2,1,Ivory Coast,0
667,2006,Group stage,Mexico,0,0,Angola,0
668,2006,Group stage,Portugal,2,0,Iran,0
669,2006,Group stage,Czech Republic,0,2,Ghana,0
670,2006,Group stage,Italy,1,1,United States,0
671,2006,Group stage,Japan,0,0,Croatia,0
672,2006,Group stage,Brazil,2,0,Australia,0
673,2006,Group stage,France,1,1,South Korea,0
674,2006,Group stage,Togo,0,2,Switzerland,0
675,2006,Group stage,Saudi Arabia,0,4,Ukraine,0
676,2006,Group stage,Spain,3,1,Tunisia,0
677,2006,Group stage,Germany,3,0,Ecuador,1
678,2006,Group stage,Costa Rica,1,2,Poland,0
679,2006,Group stage,Sweden,2,2,England,0
680,2006,Group stage,Paraguay,2,0,Trinidad and Tobago,0
681,2006,Group stage,Iran,1,1,Angola,0
682,2006,Group stage,Portugal,2,1,Mexico,0
683,2006,Group stage,Netherlands,0,0,Argentina,0
684,2006,Group stage,Ivory Coast,3,2,Serbia,0
685,2006,Group stage,Czech Republic,0,2,Italy,0
686,2006,Group stage,Ghana,2,1,United States,0
687,2006,Group stage,Japan,1,4,Brazil,0
688,2006,Group stage,Croatia,2,2,Australia,0
689,2006,Group stage,Ukraine,1,0,Tunisia,0
690,2006,Group stage,Saudi Arabia,0,1,Spain,0
691,2006,Group stage,Togo,0,2,France,0
692,2006,Group stage,Switzerland,2,0,South Korea,0
693,2006,Round of 16,Germany,2,0,Sweden,1
694,2006,Round of 16,Argentina,2,1,Mexico,0
695,2006,Round of 16,England,1,0,Ecuador,0
696,2006,Round of 16,Portugal,1,0,Netherlands,0
697,2006,Round of 16,Italy,1,0,Australia,0
698,2006,Round of 16,Switzerland,0,0,Ukraine,0
699,2006,Round of 16,Brazil,3,0,Ghana,0
700,2006,Round of 16,Spain,1,3,France,0
701,2006,Quarter-finals,Germany,1,1,Argentina,1
702,2006,Quarter-finals,Italy,3,0,Ukraine,0
703,2006,Quarter-finals,England,0,0,Portugal,0
704,2006,Quarter-finals,Brazil,0,1,France,0
705,2006,Semi-finals,Germany,0,2,Italy,1
706,2006,Semi-finals,Portugal,0,1,France,0
707,2006,Third place,Germany,3,1,Portugal,1
708,2006,Final,Italy,1,1,France,0
709,2010,Group stage,South Africa,1,1,Mexico,1
710,2010,Group stage,Uruguay,0,0,France,0
711,2010,Group stage,South Korea,2,0,Greece,0
712,2010,Group stage,Argentina,1,0,Nigeria,0
713,2010,Group stage,England,1,1,United States,0
714,2010,Group stage,Algeria,0,1,Slovenia,0
715,2010,Group stage,Serbia,0,1,Ghana,0
716,2010,Group stage,Germany,4,0,Australia,0
717,2010,Group stage,Netherlands,2,0,Denmark,0
718,2010,Group stage,Japan,1,0,Cameroon,0
719,2010,Group stage,Italy,1,1,Paraguay,0
720,2010,Group stage,New Zealand,1,1,Slovakia,0
721,2010,Group stage,Ivory Coast,0,0,Portugal,0
722,2010,Group stage,Brazil,2,1,North Korea,0
723,2010,Group stage,Honduras,0,1,Chile,0
724,2010,Group stage,Spain,0,1,Switzerland,0
725,2010,Group stage,South Africa,0,3,Uruguay,1
726,2010,Group stage,Argentina,4,1,South Korea,0
727,2010,Group stage,Greece,2,1,Nigeria,0
728,2010,Group stage,France,0,2,Mexico,0
729,2010,Group stage,Germany,0,1,Serbia,0
730,2010,Group stage,Slovenia,2,2,United States,0
731,2010,Group stage,England,0,0,Algeria,0
732,2010,Group stage,Netherlands,1,0,Japan,0
733,2010,Group stage,Ghana,1,1,Australia,0
734,2010,Group stage,Cameroon,1,2,Denmark,0
735,2010,Group stage,Slovakia,0,2,Paraguay,0
736,2010,Group stage,Italy,1,1,New Zealand,0
737,2010,Group stage,Brazil,3,1,Ivory Coast,0
738,2010,Group stage,Portugal,7,0,North Korea,0
739,2010,Group stage,Chile,1,0,Switzerland,0
740,2010,Group stage,Spain,2,0,Honduras,0
741,2010,Group stage,Mexico,0,1,Uruguay,0
742,2010,Group stage,South Africa,2,1,France,1
743,2010,Group stage,Nigeria,2,2,South Korea,0
744,2010,Group stage,Greece,0,2,Argentina,0
745,2010,Group stage,Slovenia,0,1,England,0
746,2010,Group stage,United States,1,0,Algeria,0
747,2010,Group stage,Ghana,0,1,Germany,0
748,2010,Group stage,Australia,2,1,Serbia,0
749,2010,Group stage,Slovakia,3,2,Italy,0
750,2010,Group stage,Paraguay,0,0,New Zealand,0
751,2010,Group stage,Denmark,1,3,Japan,0
752,2010,Group stage,Cameroon,1,2,Netherlands,0
753,2010,Group stage,Portugal,0,0,Brazil,0
754,2010,Group stage,North Korea,0,3,Ivory Coast,0
755,2010,Group stage,Chile,1,2,Spain,0
756,2010,Group stage,Switzerland,0,0,Honduras,0
757,2010,Round of 16,Uruguay,2,1,South Korea,0
758,2010,Round of 16,United States,1,2,Ghana,0
759,2010,Round of 16,Germany,4,1,England,0
760,2010,Round of 16,Argentina,3,1,Mexico,0
761,2010,Round of 16,Netherlands,2,1,Slovakia,0
762,2010,Round of 16,Brazil,3,0,Chile,0
763,2010,Round of 16,Paraguay,0,0,Japan,0
764,2010,Round of 16,Spain,1,0,Portugal,0
765,2010,Quarter-finals,Netherlands,2,1,Brazil,0
766,2010,Quarter-finals,Uruguay,1,1,Ghana,0
767,2010,Quarter-finals,Argentina,0,4,Germany,0
768,2010,Quarter-finals,Paraguay,0,1,Spain,0
769,2010,Semi-finals,Uruguay,2,3,Netherlands,0
770,2010,Semi-finals,Germany,0,1,Spain,0
771,2010,Third place,Uruguay,2,3,Germany,0
772,2010,Final,Netherlands,0,1,Spain,0
773,2014,Group stage,Brazil,3,1,Croatia,1
774,2014,Group stage,Mexico,1,0,Cameroon,0
775,2014,Group stage,Spain,1,5,Netherlands,0
776,2014,Group stage,Chile,3,1,Australia,0
777,2014,Group stage,Colombia,3,0,Greece,0
778,2014,Group stage,Uruguay,1,3,Costa Rica,0
779,2014,Group stage,England,1,2,Italy,0
780,2014,Group stage,Ivory Coast,2,1,Japan,0
781,2014,Group stage,Switzerland,2,1,Ecuador,0
782,2014,Group stage,France,3,0,Honduras,0
783,2014,Group stage,Argentina,2,1,Bosnia and Herzegovina,0
784,2014,Group stage,Germany,4,0,Portugal,0
785,2014,Group stage,Iran,0,0,Nigeria,0
786,2014,Group stage,Ghana,1,2,United States,0
787,2014,Group stage,Belgium,2,1,Algeria,0
788,2014,Group stage,Brazil,0,0,Mexico,1
789,2014,Group stage,Russia,1,1,South Korea,0
790,2014,Group stage,Australia,2,3,Netherlands,0
791,2014,Group stage,Spain,0,2,Chile,0
792,2014,Group stage,Cameroon,0,4,Croatia,0
793,2014,Group stage,Colombia,2,1,Ivory Coast,0
794,2014,Group stage,Uruguay,2,1,England,0
795,2014,Group stage,Japan,0,0,Greece,0
796,2014,Group stage,Italy,0,1,Costa Rica,0
797,2014,Group stage,Switzerland,2,5,France,0
798,2014,Group stage,Honduras,1,2,Ecuador,0
799,2014,Group stage,Argentina,1,0,Iran,0
800,2014,Group stage,Germany,2,2,Ghana,0
801,2014,Group stage,Nigeria,1,0,Bosnia and Herzegovina,0
802,2014,Group stage,Belgium,1,0,Russia,0
803,2014,Group stage,South Korea,2,4,Algeria,0
804,2014,Group stage,United States,2,2,Portugal,0
805,2014,Group stage,Australia,0,3,Spain,0
806,2014,Group stage,Netherlands,2,0,Chile,0
807,2014,Group stage,Brazil,4,1,Cameroon,1
808,2014,Group stage,Croatia,1,3,Mexico,0
809,2014,Group stage,Italy,0,1,Uruguay,0
810,2014,Group stage,Costa Rica,0,0,England,0
811,2014,Group stage,Japan,1,4,Colombia,0
812,2014,Group stage,Greece,2,1,Ivory Coast,0
813,2014,Group stage,Nigeria,2,3,Argentina,0
814,2014,Group stage,Bosnia and Herzegovina,3,1,Iran,0
815,2014,Group stage,Honduras,0,3,Switzerland,0
816,2014,Group stage,Ecuador,0,0,France,0
817,2014,Group stage,United States,0,1,Germany,0
818,2014,Group stage,Portugal,2,1,Ghana,0
819,2014,Group stage,South Korea,0,1,Belgium,0
820,2014,Group stage,Algeria,1,1,Russia,0
821,2014,Round of 16,Brazil,1,1,Chile,1
822,2014,Round of 16,Colombia,2,0,Uruguay,0
823,2014,Round of 16,Netherlands,2,1,Mexico,0
824,2014,Round of 16,Costa Rica,1,1,Greece,0
825,2014,Round of 16,France,2,0,Nigeria,0
826,2014,Round of 16,Germany,2,1,Algeria,0
827,2014,Round of 16,Argentina,1,0,Switzerland,0
828,2014,Round of 16,Belgium,2,1,United States,0
829,2014,Quarter-finals,France,0,1,Germany,0
830,2014,Quarter-finals,Brazil,2,1,Colombia,1
831,2014,Quarter-finals,Argentina,1,0,Belgium,0
832,2014,Quarter-finals,Netherlands,0,0,Costa Rica,0
833,2014,Semi-finals,Brazil,1,7,Germany,1
834,2014,Semi-finals,Netherlands,0,0,Argentina,0
835,2014,Third place,Brazil,0,3,Netherlands,1
836,2014,Final,Germany,1,0,Argentina,0
837,2018,Group stage,Russia,5,0,Saudi Arabia,1
838,2018,Group stage,Egypt,0,1,Uruguay,0
839,2018,Group stage,Morocco,0,1,Iran,0
840,2018,Group stage,Portugal,3,3,Spain,0
841,2018,Group stage,France,2,1,Australia,0
842,2018,Group stage,Argentina,1,1,Iceland,0
843,2018,Group stage,Peru,0,1,Denmark,0
844,2018,Group stage,Croatia,2,0,Nigeria,0
845,2018,Group stage,Costa Rica,0,1,Serbia,0
846,2018,Group stage,Germany,0,1,Mexico,0
847,2018,Group stage,Brazil,1,1,Switzerland,0
848,2018,Group stage,Sweden,1,0,South Korea,0
849,2018,Group stage,Belgium,3,0,Panama,0
850,2018,Group stage,Tunisia,1,2,England,0
851,2018,Group stage,Colombia,1,2,Japan,0
852,2018,Group stage,Poland,1,2,Senegal,0
853,2018,Group stage,Russia,3,1,Egypt,1
854,2018,Group stage,Portugal,1,0,Morocco,0
855,2018,Group stage,Uruguay,1,0,Saudi Arabia,0
856,2018,Group stage,Iran,0,1,Spain,0
857,2018,Group stage,Denmark,1,1,Australia,0
858,2018,Group stage,France,1,0,Peru,0
859,2018,Group stage,Argentina,0,3,Croatia,0
860,2018,Group stage,Brazil,2,0,Costa Rica,0
861,2018,Group stage,Nigeria,2,0,Iceland,0
862,2018,Group stage,Serbia,1,2,Switzerland,0
863,2018,Group stage,Belgium,5,2,Tunisia,0
864,2018,Group stage,South Korea,1,2,Mexico,0
865,2018,Group stage,Germany,2,1,Sweden,0
866,2018,Group stage,England,6,1,Panama,0
867,2018,Group stage,Japan,2,2,Senegal,0
868,2018,Group stage,Poland,0,3,Colombia,0
869,2018,Group stage,Russia,0,3,Uruguay,1
870,2018,Group stage,Saudi Arabia,2,1,Egypt,0
871,2018,Group stage,Spain,2,2,Morocco,0
872,2018,Group stage,Iran,1,1,Portugal,0
873,2018,Group stage,Australia,0,2,Peru,0
874,2018,Group stage,Denmark,0,0,France,0
875,2018,Group stage,Nigeria,1,2,Argentina,0
876,2018,Group stage,Iceland,1,2,Croatia,0
877,2018,Group stage,South Korea,2,0,Germany,0
878,2018,Group stage,Mexico,0,3,Sweden,0
879,2018,Group stage,Serbia,0,2,Brazil,0
880,2018,Group stage,Switzerland,2,2,Costa Rica,0
881,2018,Group stage,Japan,0,1,Poland,0
882,2018,Group stage,Senegal,0,1,Colombia,0
883,2018,Group stage,Panama,1,2,Tunisia,0
884,2018,Group stage,England,0,1,Belgium,0
885,2018,Round of 16,France,4,3,Argentina,0
886,2018,Round of 16,Uruguay,2,1,Portugal,0
887,2018,Round of 16,Russia,1,1,Spain,1
888,2018,Round of 16,Croatia,1,1,Denmark,0
889,2018,Round of 16,Brazil,2,0,Mexico,0
890,2018,Round of 16,Belgium,3,2,Japan,0
891,2018,Round of 16,Sweden,1,0,Switzerland,0
892,2018,Round of 16,Colombia,1,1,England,0
893,2018,Quarter-finals,Uruguay,0,2,France,0
894,2018,Quarter-finals,Brazil,1,2,Belgium,0
895,2018,Quarter-finals,Sweden,0,2,England,0
896,2018,Quarter-finals,Russia,2,2,Croatia,1
897,2018,Semi-finals,France,1,0,Belgium,0
898,2018,Semi-finals,Croatia,2,1,England,0
899,2018,Third place,Belgium,2,0,England,0
900,2018,Final,France,4,2,Croatia,0
